Asset,Last,Strike,Negócios,Quantidade,Bid,Ask,Vencimento,Cont. Abertos,Black Scholes,Volt. Implícita,VI Ask,VI Bid,VI / VH
PETRK374W1,0,37.4,0,0,0,0,7/11/2025,0,1.66E-08,0,0,0,0
PETRK379W1,0,37.9,0,0,0,0,7/11/2025,0,2.68E-09,0,0,0,0
PETRK384W1,0,38.4,0,0,0,0,7/11/2025,0,4.02E-10,0,0,0,0
PETRK389W1,0,38.9,0,0,0,0,7/11/2025,0,5.65E-11,0,0,0,0
PETRK394W1,0,39.4,0,0,0,0,7/11/2025,0,7.44E-12,0,0,0,0
PETRK399W1,0,39.9,0,0,0,0,7/11/2025,0,9.22E-13,0,0,0,0
PETRK404W1,0,40.4,0,0,0,0,7/11/2025,0,1.05E-13,0,0,0,0
PETRW244W1,0.05,24.4,2,200,0.02,0.05,7/11/2025,232400,8.56E-08,0.481567383,0.481567383,0.412750244,2.807001283
PETRW249W1,0.05,24.9,3,400,0.02,0.06,7/11/2025,413600,1.01E-06,0.441932678,0.457935333,0.377502441,2.575975116
PETRW254W1,0.06,25.4,8,16300,0,0,7/11/2025,197400,9.21E-06,0.417613983,0,0,2.43422422
PETRW259W1,0.07,25.9,5,17300,0,0,7/11/2025,347800,6.57E-05,0.39024353,0,0,2.274684975
PETRW264W1,0.11,26.4,2,200,0,0,7/11/2025,638000,0.000373189,0.389614105,0,0,2.271016128
PETRW269W1,0.11,26.9,1,500,0.07,0.45,7/11/2025,439800,0.001714878,0.345630646,0.552854538,0.308513641,2.014641566
PETRW274W1,0.14,27.4,5,1300,0.04,0,7/11/2025,78900,0.006475375,0.323352814,0,0.23519516,1.884786627
PETRW279W1,0.25,27.9,2,200,0.04,0.25,7/11/2025,179100,0.020405045,0.33952713,0.33952713,0.197219849,1.97906487
PETRW284W1,0.25,28.4,7,900,0.06,0.3,7/11/2025,233900,0.05449641,0.286045074,0.30962944,0.176048279,1.667324075
